NX.VCSAA.001,"['bestbuy', 1317L]"
NX.VCSAA.002,"['bestbuy', 1056L]"
GL502VS-DS71,"['amazon', 75L]"
GLC4600INC,"['walmart', 102L]"
MD294-1,"['walmart', 129L]"
NP940X3L-K01US,"['amazon', 698L]"
NX.VBEAA.003,"['bestbuy', 732L, 'newEgg', 921L]"
NX.VBEAA.002,"['bestbuy', 1355L]"
Pixel C - 32GB,"['amazon', 435L]"
20FB004JUS,"['newEgg', 91L, 'newEgg', 267L]"
GP72 6QF-284CA,"['bestbuy', 448L, 'amazon', 77L, 'staples', 66L]"
NT.LCEAA.004,"['bestbuy', 1228L]"
TEW-818DRU,"['amazon', 339L]"
LI351568W,"['snapdeal', 35L]"
A80CJ-DS51,"['bestbuy', 362L]"
GS70 2QE-017US,"['amazon', 802L]"
RZ09-01161E32-R3U1,"['amazon', 61L]"
20F90076US,"['bestbuy', 897L]"
Excelance,"['snapdeal', 0L]"
GE72 Apache Pro-001,"['bestbuy', 554L]"
L1161,"['snapdeal', 39L, 'flipkart', 7L]"
WS607RU680CA,"['staples', 335L]"
AW-15R2-HID45-AUK2,"['amazon', 637L]"
GS70 6QE-004US Stealth Pro,"['amazon', 461L]"
W0T02UTABA,"['bestbuy', 1297L]"
GT62VR DOMINATOR PRO-087,"['amazon', 875L]"
NX.EF2AA.002,"['bestbuy', 937L]"
Neo Z64-W10,"['amazon', 667L]"
NX.VDKAA.010,"['bestbuy', 755L]"
80UR0006US,"['amazon', 601L]"
Tor-16L1-122,"['bestbuy', 880L]"
Tor-16L1-123,"['bestbuy', 636L]"
Tor-16L1-124,"['bestbuy', 818L]"
21FNP,"['newEgg', 1074L]"
NP740U3M-K01US,"['amazon', 289L]"
6W3DR,"['newEgg', 199L]"
GE62 6QD-274US,"['newEgg', 994L]"
W7D84UA#ABL,"['amazon', 398L]"
NX.VDFAA.013,"['bestbuy', 1329L]"
RZ09-01952E71-R3U1,"['amazon', 319L]"
S7-N170RD-97,"['bestbuy', 854L]"
GS73VR 7RF-232CA,"['bestbuy', 865L, 'amazon', 142L]"
S7-N170RD-98,"['bestbuy', 746L]"
WS60 7RJ-685CA,"['bestbuy', 536L, 'bestbuy', 810L, 'amazon', 335L]"
A1369,"['amazon', 1053L]"
E6420,"['amazon', 505L]"
S5-N150RD-96,"['bestbuy', 816L]"
S5-N150RD-95,"['bestbuy', 443L]"
PS481U-01000S,"['amazon', 1183L]"
NX.VDSAA.004,"['bestbuy', 1291L]"
80SF001EUS,"['amazon', 484L]"
NX.VDSAA.001,"['bestbuy', 1126L]"
NX.VDSAA.003,"['bestbuy', 742L]"
NX.VDSAA.002,"['bestbuy', 1335L]"
20H50045CA,"['bestbuy', 1149L]"
T8Z06UTABL,"['bestbuy', 1238L]"
Lifebook A555,"['snapdeal', 53L, 'snapdeal', 139L]"
AW15R2-6161SLV,"['bestbuy', 159L, 'bestbuy', 1334L]"
U260B,"['amazon', 751L]"
W7D82UA#ABL,"['amazon', 485L]"
GE62 7RE-286CA,"['bestbuy', 89L, 'bestbuy', 384L, 'bestbuy', 878L, 'amazon', 122L]"
CX62 7QL,"['flipkart', 78L]"
700381965,"['amazon', 743L]"
X7 V7-KL3K3D,"['amazon', 1068L]"
TSAU21N3K,"['newEgg', 1809L]"
LT777W,"['flipkart', 26L]"
CAB-HDMI-PHD12XS=,"['amazon', 902L]"
62623,"['walmart', 139L]"
776254Y,"['amazon', 946L]"
V1Q01UT#ABL,"['newEgg', 1359L]"
59441913,"['amazon', 1029L]"
V1P72UTABL,"['bestbuy', 1253L]"
CEF15NC,"['amazon', 840L]"
CF-532JCZYCM,"['amazon', 899L]"
V1H22UT#ABL,"['newEgg', 598L]"
MLYL2LL/A,"['amazon', 378L]"
WS637RK297CA,"['staples', 353L]"
267900BLK,"['walmart', 160L]"
NT8B29AAAAE6,"['amazon', 701L]"
VTA100-4,"['amazon', 634L]"
53FJX,"['bestbuy', 1094L]"
E5-551-T1PJ,"['walmart', 212L]"
W0T08UT#ABA,"['newEgg', 658L]"
GE72MVR 7RG-002CA,"['bestbuy', 550L, 'bestbuy', 949L, 'amazon', 78L]"
MLMW2LL/A,"['amazon', 301L]"
T6F46UT#ABA,"['amazon', 707L]"
MSI-GS63VR-Pro-002-HID3-CA,"['amazon', 1078L]"
RCN-022,"['flipkart', 87L]"
RCN-021,"['snapdeal', 47L]"
RCN-025,"['flipkart', 246L]"
Aero 14Wv7-BK4,"['amazon', 374L]"
DJGG0,"['bestbuy', 386L]"
NEW 2016 MTL1008 Notebook 1GB DDR3,"['amazon', 490L]"
SLC8600INC,"['walmart', 24L]"
VS8GSDSKIT800D2,"['amazon', 343L]"
XE513C24-K01US,"['amazon', 197L]"
RZ09-01682E22-MSU1,"['newEgg', 1945L]"
AW17R4-7006SLV-PUS,"['amazon', 932L]"
GS73 7RE-003CA,"['amazon', 199L]"
PE70 6QE-058US,"['amazon', 543L]"
N151,"['snapdeal', 240L]"
MSI-GS73VR-Pro-033-HID5-CA,"['amazon', 973L]"
1430a,"['snapdeal', 80L]"
MH0W2LL/A,"['amazon', 656L]"
GE72 7RE-211CA,"['bestbuy', 767L, 'bestbuy', 1076L, 'amazon', 369L]"
NX.VBRAA.004,"['bestbuy', 1086L]"
